Location	Sex	Urchin	"Filenames (Use the ones with ""L3"" in the name for Original_Reads)"	Covered Bases	Ave Depth	reads	map ratio		"Use files with ""L3"" in the name for the original reads files"					
Original_Reads Clean	Male	Spm1-3	FCC60LLACXX_L3_URChcfR1AAD24FAAPEI-7_Spm1-3_1.fq	"114,326,046"	62.36116277	"54,152,239"	78.39%							
Original_Reads Clean	Male	Spm1-3	FCC60LLACXX_L3_URChcfR1AAD24FAAPEI-7_Spm1-3_2.fq			"54,152,239"	78.39%							
Original_Reads Clean	Male	Spm3	FCC60LLACXX_L3_URChcfR1AAD24FAAPEI-7_Spm3_1.fq	"98,743,957"	31.34097276	"23,477,041"	78.27%							
Original_Reads Clean	Male	Spm3	FCC60LLACXX_L3_URChcfR1AAD24FAAPEI-7_Spm3_2.fq			"23,477,041"	78.27%							
Original_Reads Clean	Male	Spm4	FCC60LLACXX_L3_URChcfR1AAD24FAAPEI-7_Spm4_1.fq	"99,776,905"	30.23042988	"22,876,790"	78.38%							
Original_Reads Clean	Male	Spm4	FCC60LLACXX_L3_URChcfR1AAD24FAAPEI-7_Spm4_2.fq			"22,876,790"	78.38%							
Original_Reads Clean	Male	Spm10	FCC60LLACXX_L3_URChcfR1AAD24FAAPEI-7_Spm10_1.fq	"96,646,981"	30.09443577	"22,005,922"	78.54%							
Original_Reads Clean	Male	Spm10	FCC60LLACXX_L3_URChcfR1AAD24FAAPEI-7_Spm10_2.fq			"22,005,922"	78.54%							
Original_Reads Clean	Male	Spm8	FCC60LLACXX_L3_URChcfR1AAD24FAAPEI-7_Spm8_1.fq.gz	"97,467,814"	27.95434901	"20,678,587"	78.26%							
Original_Reads Clean	Male	Spm8	FCC60LLACXX_L3_URChcfR1AAD24FAAPEI-7_Spm8_2.fq.gz			"20,678,587"	78.26%							
Original_Reads Clean	Male	Spm11	FCC60LLACXX_L3_URChcfR1AAD24FAAPEI-7_Spm11_1.fq.gz	"96,022,679"	28.35595224	"20,617,474"	78.43%							
Original_Reads Clean	Male	Spm11	FCC60LLACXX_L3_URChcfR1AAD24FAAPEI-7_Spm11_2.fq.gz			"20,617,474"	78.43%							
Original_Reads Clean	Male	Spm16	FCC60LLACXX_L3_URChcfR1AAD24FAAPEI-7_Spm16_1.fq.gz	"94,592,193"	27.79016312	"20,258,632"	77.02%							
Original_Reads Clean	Male	Spm16	FCC60LLACXX_L3_URChcfR1AAD24FAAPEI-7_Spm16_2.fq.gz			"20,258,632"	77.02%							
Original_Reads Clean	Male	Spm14	FCC60LLACXX_L3_URChcfR1AAD24FAAPEI-7_Spm14_1.fq.gz	"94,583,256"	25.72456387	"18,414,519"	78.50%							
Original_Reads Clean	Male	Spm14	FCC60LLACXX_L3_URChcfR1AAD24FAAPEI-7_Spm14_2.fq.gz			"18,414,519"	78.50%							
Original_Reads Clean	Male	Spm2	FCC60LLACXX_L3_URChcfR1AAD24FAAPEI-7_Spm2_1.fq.gz	"93,732,914"	25.2290226	"17,955,621"	78.24%							
Original_Reads Clean	Male	Spm2	FCC60LLACXX_L3_URChcfR1AAD24FAAPEI-7_Spm2_2.fq.gz			"17,955,621"	78.24%							
Original_Reads Clean	Male	Spm7	FCC60LLACXX_L3_URChcfR1AAD24FAAPEI-7_Spm7_1.fq.gz	"94,142,009"	23.85820583	"16,986,354"	78.55%							
Original_Reads Clean	Male	Spm7	FCC60LLACXX_L3_URChcfR1AAD24FAAPEI-7_Spm7_2.fq.gz			"16,986,354"	78.55%							
